Address|ProjectDescription|PermitNumber
3538 SAWMILL CRESCENT, Vancouver, BC V1V 1V1|"Certified Professional Program - New Building - To construct a  26 storey residential  tower (25 storey per Planning and Zoning By-law) on Sawmill Crescent connected with a 6 storey midrise  residential component on Rivergrass  Drive, and 3 storey townhomes facing  Kent Av North Greenway. 
The entire development contains  326 dwelling units ( including 20 work-live studious on the north and east sides of the parcel and one studio on the south side - #1 -8589 Rivergrass Drive)  all over 2 levels of underground parking.

16-Feb-2017 - Stage 1 (excavation and shoring) issued.

13-Sep-2018   - Revision#1 ( to Stage 1) issued.  
Changes to excavation and shoring drawings to reflect changes approved under DP/MA DP-2018-00652.

06-Dec-2018  - Stage 2 (Full construction excluding  pool and roof hatch design)  issued.


28-Oct-2019 Revision #2 ( Revision to Stage 2- Full Construction  excluding pool design)
BP Revision after DPMA : DP-2019-00318 & DP-2018-00652.
To increase the number of dwelling units from 326 to 329.
Summary of changes submitted by the Architect, Structural, Mechanical and Electrical engineers.

2-July -2020  - Stage 3  (Pool only)  issued.

Revision#3 - 16-Dec-2021 tn 
Revised roof hatch detail to include 2 exterior handrails. 
Drawing A 41.02 of the Final Design Drawings updated. 

18-Jan-2022 Revision #4
Addressing changes to live/work units addressed off Sawmill Crescent:
3550 changed to 3542  Sawmill Crescent
3552 changed to 3544 Sawmill Crescent
3554 changed to 3546 Sawmill Crescent
3556 changed to 3548 Sawmill Crescent
3558 changed to 3550 Sawmill Crescent
3560 changed to 3552 Sawmill Crescent
3562 changed to 3554 Sawmill Crescent
3564 changed to 3556 Sawmill Crescent
3566 changed to 3558 Sawmill Crescent
3568 changed to 3560 Sawmill Crescent"|BP-2017-03067
3498 MARINE WAY, Vancouver, BC V1V 1V1|"Certified Professional Program - New Building - Building Permit for BP-2016-03449 

To construct  7-storey building."|BP-2018-00877
8675 OOLICHAN WAY, Vancouver, BC V1V 1V1|"Certified Professional Program - New Building - To construct a new  2 storey residential  building on the South /East side  of this site consisting of seven (7)  two-storey  market townhouse units ( Building 2).  

Note: For full scope of work for entire development refer to BP-2019-01108 (site permit). 

10-Jan-2020 - Stage 1 (to place the secant piles) issued.
09-Apr-2020 - Stage 2 (excavation and shoring)  issued. 
03-Sep-2020 - Stage 3 (full construction) issued."|BP-2019-01894
8693 OOLICHAN WAY, Vancouver, BC V1V 1V1|"Certified Professional Program - New Building - To construct a new 2 storey residential  building on the South side of this site consisting of  three (3) townhouse units (Building 3).  

Note: For full scope of work for entire development refer to BP-2019-01108 (site permit). 

10-Jan-2020 - Stage 1 (to place the secant piles) issued.
09-Apr-2020 - Stage 2 (excavation and shoring)  issued. 
03-Sep-2020 - Stage 3 (full construction) issued."|BP-2019-05474
3438 SAWMILL CRESCENT, Vancouver, BC V1V 1V1|"Certified Professional Program - New Building - To develop this site with a 25 storey (26 storey per VBBL) multiple dwelling building with a six storey residential podium, providing 243 dwelling units, including 5 Secondary dwelling units, and 14 Live-work dwelling units all over four  levels of underground parking, having vehicular access from the East shared Access road. 

Stage #1 - secant pile installation only - issued 2019-02-01
Stage #2 - excavation, shoring, and foundation up to grade - issued 2019-09-18
Stage #3 - full construction - issued 2020-01-17
Stage #3 - revision #1 - to relocate two accessible parking stalls in P2 - issued June 20/22 - Erv"|BP-2018-04137
8690 JACK UPPAL STREET, Vancouver, BC V1V 1V1|"Certified Professional Program - New Building - To construct a 6 storey midrise combustible (Rental 100) residential market rental building with 119 apartment units and 2 levels of underground parkade.
 
STAGE 1 - Excavation and Shoring issued on Aug. 9th, 2019.

Reviewed during the 2020 pandemic crisis

Revision 1 to STAGE 1 - Excavation & Shoring - change in Geotech Consultant for temporary shoring only issued on May 27th, 2020.

Stage 2 Full Construction issued on July 2nd, 2020.

Revision #2 - (May 16, 2022) to relocate 2 accessible stalls, update bicycle Storage layout and the workshop room is replaced by a Dog Spa Room on P1 level."|BP-2018-04844
3979 FLEMING STREET, Vancouver, BC|"Certified Professional Program - New Building - To construct a three-storey multi-family building ( Building 5 - TH 4)  consisting of 6 townhomes, all over 3 levels of underground parkade.

Building 5  is part of a mixed use development;  for full project description defer to BP-2020-01943.

21-July-2021 - Stage 1(excavation and shoring) issued.
18-Nov-2021 - Stage 1 rev1 (BP revision after DP-2021-00703) issued.
19-Nov-2021 - Stage 2 (full structural) issued. 
21-Apr-2022 - Stage 3 ( full permit) issued."|BP-2021-01241
3910 DUMFRIES STREET, Vancouver, BC V5B 2R8|"Certified Professional Program - New Building - To construct a four storey multi-family building ( Building 3 - TH 2)  consisting of 12 townhomes ( stacked), all over 3 levels of underground parkade.

Building 3 is part of a mixed use development;  for full project description defer to BP-2020-01943.
21- July-2021 - Stage 1 (excavation and shoring) issued.
18-Nov-2021 - Stage 1 rev1 ( BP revision after DP-2021-00703) issued.
19-Nov-2021 - Stage 2 (full structural) issued. 
21-Apr-2022 - Stage 3 ( full permit) issued. 

15-Aug-2022 - Rev#2 
Clarifications on the floor assembly within Building 3- TH2. Refer to Staged Construction drawings list for revised  drawings."|BP-2021-01239
3969 FLEMING STREET, Vancouver, BC|"Certified Professional Program - New Building - To construct a three-storey multi-family building (Building 4 - TH 3)  consisting of 5 townhomes, all over 3 levels of underground parkade.

Building 4  is part of a mixed use development;  for full project description defer to BP-2020-01943.

21-July-2021 Stage 1(excavation and shoring) issued.
18-Nov-2021 - Stage 1 rev1 ( BP revision after DP-2021-00703) issued.
19-Nov-2021 - Stage 2 (full structural) issued. 
21-Apr-2022 - Stage 3 ( full permit) issued."|BP-2021-01240
3304 CLIVE AVENUE, Vancouver, BC V5R 4V5|"High Density Housing / Commercial - New Building - To develop on this site a new 3-storey Multiple Dwelling building containing 3 dwelling units with 3 lock off units and 3 surface parking spaces having vehicular access from the lane.

Revision-1  January 4, 2020
Amendment to replace building envelope registered professional of the record. 

Revision-2 March 3, 2021
To relocate electrical meters and modify bicycle storage"|BP-2018-05492
162 MAIN STREET, Vancouver, BC|"Certified Professional Program - New Building - To construct a 6 storey with 69 Supportive Housing from 2nd to 6th floors with retails and residential ancillary uses on the main floor with no parking. Basement and main level are of concrete construction. Levels 2-6 are of wood frame construction. 
(No kitchen Exhaust ducts proposed. Only HVAC ducts at the main ceiling level.)

VBBL 2019 - Reviewed during 2020/2021 Pandemic.

STAGE 1 - Excavation and Shoring issued on April 14, 2021. 
STGAE 2 - Full Construction issued on June 25, 2021.
Rev# 1 (Apr. 21, 2022) - Interior and exterior changes on the following:

- changing from Affordable Housing to Supportive Housing;
- expanding the North retail unit;
- eliminating the South retail unit;
- expanding Amenity spaces with servery function, calming room and 
  security office at the first floor;
- reducing Class B bike stalls from 12 stalls to 8 stalls; and,
- adding a heat treatment room."|BP-2020-01978
1451 E 12TH AVENUE, Vancouver, BC V5N 2A1|"Certified Professional Program - New Building - To construction of a new 6 storey, combustible multi-family residential building consisting of 85 dwellings units and a single level of parkade.

VBBL 2019 - NFPA 13 - SHORT

Stage 1 - Excavation and Shoring issued on Dec. 9, 2021. 
Stage 2 - Full Construction issued on June 30, 2022."|BP-2021-00849
435 BOUNDARY ROAD, Vancouver, BC V5K 0H6|"Certified Professional Program - New Building - To construct a new 16 storey mixed-use building (14 storeys per Zoning Bylaw) consisting of:
1st storey             - 2 residential rental units and storage/loading area
2nd storey            - 3 residential rental units, and 3 CRU units:
1 Restaurant shell  (A-2) and 2 retails (E)
3rd to 15th storeys - 113 residential rental units 
16th storey            -   top roof amenity space 

All over two levels of underground parking  having vehicle access from the lane. 

Note: 
Total number of the dwelling units -118. 
This application has been approved under the Moderate Income Rental Housing Pilot Program.
This permit was issued under the VBBL2019 and COVID 19.
The following areas of this building are TIPs eligible: 
-3670 & 3680 E Hastings St. (two retail units) 

16-June-2021- Stage 1 (Excavation and Shoring) issued.
04-Nov-2021 - Stage 2 (Full Structural) issued.  
01-Apr-2022 - Stage 3 (Full Permit)  issued."|BP-2020-03028
535 W KING EDWARD AVENUE, Vancouver, BC V5Z 2C4|"Certified Professional Program - New Building - Original Application submitted under BU466138.  
            
To construct a new two  family  dwelling (Building 3) at rear of the site. 
Note: Building 3 contains 2 of the 66 dwelling units  in this  7 storey multiple dwelling complex.
  
Related to BP-2016-03679."|BP-2017-00386
1250 W HASTINGS STREET, Vancouver, BC V6E 2M4|"Certified Professional Program - New Building - Construction of a new 19 storey building with Retail Store on the second floor, 20 dwelling units on the 3rd through 19th floors, and 3 levels of underground parking accessed from West Hastings Street. 

Stage I (excavation/shoring) issued December 13, 2017.
Stage I (revision 1): drawings revised to incorporate underpinning at the west face. (issued April 6, 2018)
Stage II (full structure) issued July 12, 2018.
Stage III (Full construction) issued February 6, 2019.

Change of electrical engineer: as of January 23. 2020 Anca Cojocaru is assuming responsibly as  the electrical engineer of record."|BP-2017-00485
4288 YEW STREET, Vancouver, BC|"Certified Professional Program - New Building - Construct a new building with 2 parking levels (the uppermost, P1, is the first storey due to sloping ground levels), commercial shell spaces on Levels 1 and P2, residential suites on Levels 1 through 7. The building will be connected to building at 4188 Yew (BU467375) and considered a single building. 

Stage I permit (excavation/shoring) issued September 12, 2017.

This building permit has been issued without the issuance of the related development permit and  without the DCL and DCC fees being collected. The DCL and DCC fees shall be paid at Stage II Building Permit. 

Stage II (structure to grade) issued December 19, 2017.

Change of structural engineer of record-(John Markulin to replace John Bryson). Documents received and filed. 

Stage II, Revision 1: Addition of ground floor suspended slab to the Stage II building permit (issued July 27, 2018).

Stage III (full structure) issued Nov.23, 2018.
Stage IV (full construction) issued Nov.23, 2018.
Revision 2: conversion of mechanical room into a storage room for a tenant and construction of a new vestibule, minor changes to some basement shafts and service rooms, revisions to entry stairs and ramp for unit at 4230 Yew St, increased size of electrical closets on residential levels, changes to the landscaping at the roof."|BP-2017-01297
1150 COMOX STREET, Vancouver, BC V6E 1K5|"Certified Professional Program - New Building - Rehabilitate, retain, add and relocate the existing Multiple Conversion Dwelling building (containing 4 units) and to construct an Infill two-family dwelling building (in the rear) for a total of 6 dwelling units, with one surface parking space having vehicular access from the lane.

Stage 1 issued - July 18/17 - for excavation and relocation of existing building.
Stage 2 issued - Sept.28/17 - full structural
Stage 3 issued - May 23/18 - full construction
Stage 4 issued - Sept.13/18 - permit amendment"|BP-2016-03525
2511 SPRUCE STREET, Vancouver, BC V6H 2P8|"Certified Professional Program - New Building - To construct a 10-storey mixed-use building containing 
1st storey - retail (shell)
2nd storey - office (shell) and residential amenity space
3rd to 10th storeys - 38 dwelling units
all over two levels of underground parking having vehicular access from the lane. 

Separate tenant improvement permits are required for shell tenant spaces.

This permit will be conforming to the 2019 Vancouver Building By-law (#12511).  
Building to be sprinklered to NFPA 13 requirements. 
The office and retail shell portions of the building are TIPs eligible at the time of construction.

STAGE CONSTRUCTION
Stage 1 - Excavation and Shoring - issued July 23, 2022
Stage 2 - Foundation to Grade - in review"|BP-2018-04454
583 W 41ST AVENUE, Vancouver, BC V5Z 2M7|"Certified Professional Program - New Building - To construct a six-storey mixed-use residential/institutional/commercial building containing Retail Store use on the ground floor, Church on the second floor, forty-six (46) dwelling units of Social Housing on the third through sixth floors, and two levels of underground parking accessed from the lane north of West 41st Avenue.

Full building permit (Stage I) issued August 8, 2017.
Revision I: BP drawings revised to match the approved DP drawings."|BP-2016-03470
7709 GRANVILLE STREET, Vancouver, BC V6P 4Y9|"High Density Housing / Commercial - New Building - To construct on this site a new 4-storey multiple dwelling building containing 7 dwelling units, all over one level of parking garage having vehicular access from the lane. The building consists of Five 2-storey row house and a 3-storey stacked townhouse portion (having 2 dwelling) all over one level of parking garage.

Note: 
1. Building is 3 storeys per the Development Permit.
2- Reviewed under the provisions of VBBL 2019"|BP-2020-02194
4882 SLOCAN STREET, Vancouver, BC V5R 2A3|"Certified Professional Program - New Building - To construct a new  multi-family 4-storey multiple dwelling Building 1 consisting of 37 dwelling units and 9 lock-off units at front of the site all over one level of underground parking.

The Building 1 was designed and constructed in accordance with the National Energy Code of Canada ( NECB 2011).

Note: As of July 11, 2018  Mr. Richard Lau, P. Eng., C.P.  will no longer be the Certified Professional on this project. 
As of July 12, 2018  Ms. Susana Chui , P. Eng., C.P , shall assume responsibility as the  Certified Professional for the above noted project.  A new CP-1 form and letters from the owner, outgoing C.P.  and incoming C.P., acknowledging transfer of CP responsibilities and the effective date of transfer on file.  

Related to BP-2017-01399 ( Site Permit). 

22-Aug-2017 - Stage 1 (excavation and shoring) issued. 
01-Dec-2017 - Stage 2 (full structural)  issued.
21- Aug-2018 - Stage 3 (Full Construction) issued."|BP-2017-04343
1807 LARCH STREET, Vancouver, BC V6K 3N9|"Certified Professional Program - New Building - To construct a 6 storey wood-frame residential building  separated by a firewall, consisting of sixty-eight (68) rental  units (20% allocate to MIRHPP) all over one level of underground parkade.

Note: This permit was reviewed under VBBL 2019 and during the COVID 19 pandemic.

29-Sep-2021   - Stage 1 (excavation and shoring) issued. 
23-Mar- 2022  - Stage 2 ( foundation to grade, structural only)  issued.
12-Aug- 2022 -  Stage 3 ( full permit )  issued."|BP-2020-03636
210 E 5TH AVENUE, Vancouver, BC V5T 1G7|"Certified Professional Program - New Building - To construct  a eight  storey mixed-use building (seven storey per Zoning and Development Bylaw) consisting of:
1 st storey -  Drug Store/Health Care Office/Restaurant Class 1  
1 st  to 8 th - 58 residential strata  units
all over two levels of underground parking having vehicular access from the lane. 


Revision#1 - 27-July-2018 tn
Changes to Excavation and shoring drawings  to address comments from neighbour to the south. The neighbour's  agent confirmed acceptance of revised shoring design.

Connected buildings:
As required by the development permit “Prior to” conditions, this project includes a structural knock-out panel on level P1 at the bottom of the ramp to facilitate this future connection if required to the neighbouring property to the south.  As part of the future building permit for the neighbouring property redevelopment an alternative solution will be required to address the interconnection between these buildings as outlined in sentences 3.1.10.2.(2), and 3.2.4.2.(1).
The future shared vehicle access to U/G parkings for both properties MUST be reviewed by the BRB and it is subject to an application for a BP revision for 210 E 5 th Ave. project.
Separate applicable Permits and approvals are required when the depending access is provided.

Revision#2 - 27-Aug-2019 tn
BP Revision after DPMA DP-2019-00197. Exterior and interior changes per letters provided  by  architectural, mechanical, and electrical consultants.
DP  Compliance Letter by Hugh Cochlin, Architect AIBC on file.

Revision#3 - 31-Oct-2019 tn
To transfer the role of CP from Tavis McAuley, Architect AIBC, CP  to Kai Mikkelsen P.Eng, CP , effective October 1, 2019.

Revision#4 - 08-Apr-2020 tn
Change of the Geotechnical Registered Professional of Record effective 8-Oct-2019

Revision #5 - 6-May-2020 tn
Changes to landscape design at Level 4  -updated tree locations & updated playground as approved under DP-2020-00177."|BP-2017-06419
477 W KING EDWARD AVENUE, Vancouver, BC V1V 1V1|"Certified Professional Program - New Building - To construct a new residential building (Building 2) consisting of three market townhomes located at the northeast corner of
this site.
Related to BP-2017-06081 (Site Permit).

18-Dec-2018 - Stage 1 (excavation and shoring) issued.
22-Mar-2019 - Stage 2 Stage 2 ( foundations to Level 2, structural only) issued.
27-June-2019 - Stage 3 (full construction)  issued."|BP-2018-04622
918 W 32ND AVENUE, Vancouver, BC|"Certified Professional Program - New Building - To build 19 units of combustible townhome (in 2 blocks, front and rear) with 1 storey of non-combustible underground parking. The front block (Building A - 3 storeys) will have stacked townhouses, with 7 1-storey units at ground level and 8, 2-storey units above that. The rear block (Building B - 2 storeys) will have side by side townhouses with 4, 2-storey units at ground level. 

VBBL 2019 - NFPA 13

Front Building is related to BP-2022-03663.
Rear Building is related to BP-2022-03664.

Stage 1 - Excavation and Shoring issued on Aug. 12, 2022.
Stage 2 - Full Construction issued on ___________."|BP-2021-05126
95 SW MARINE DRIVE, Vancouver, BC V5X 2P9|"Certified Professional Program - New Building - To construct a 6 storey multiple dwelling building containing 48 combustible social housing rental dwelling units above one level of non-combustible underground parking.

SHORT PROGRAM - VBBL 2014 

“Reviewed during the 2020 pandemic crisis.”  

STAGE 1 - FULL CONSTRUCTION issued on August 20, 2020."|BP-2018-05547
3493 COMMERCIAL STREET, Vancouver, BC V5N 4E8|"Certified Professional Program - New Building - Interior and exterior alteration to add one floor to the existing heritage building on site creating a 3 storey building with retail shell (E) spaces on the main floor and 8 residential units on the 2 floors above interconnected with a new 4 storey infill at the rear of the site containing 10 residential units a parking garage off the lane and bicycle storage on the 1st floor. This project is to be treated as a single 4 storey building and is to be sprinklered to NFPA 13. Reviewed under the 2019 VBBL during the 2020 pandemic.

Stage one - partial demolition and abatement of the heritage building and demolition of the ancillary building in the rear yard - accepted 
Sept.29/20

Stage 2 - full construction - accepted Dec.18/20

stage 3 - BP revision #1
-Change of CP from B Fraser to M Ferber effective May 3/21.
-Change roof hatch design.
-New wall assembly at window wells.
-Interior layout changes.
-Add sprinkler protection at gates G-02 and G-03.
Accepted Aug.9/21"|BP-2020-01706
2715 KITSILANO DIVERSION, Vancouver, BC V6K 4S4|"High Density Housing / Commercial - New Building - To construct two - four-storey multiple dwellings, containing a total of 14 for Profit Affordable Rental Housing' dwelling units, providing 3 parking spaces having vehicular access from the lane. 

Building 2  - consist of 10 dwelling units facing Kitsilano Diversion.

Relate to BP-2020-02716 for Building 1.

VBBL 2019 - Reviewed during 2020 pandemic crisis."|BP-2020-02428
2777 STEPHENS STREET, Vancouver, BC|"High Density Housing / Commercial - New Building - To construct 4 Dwelling Units (Building 1) facing Stephen's St.

Refer to BP-2020-02428 for site work and Building 2.

VBBL 2019 - Reviewed during 2020 Pandemic Crisis."|BP-2020-02716
2628 DUKE STREET, Vancouver, BC V5R 4S9|"Certified Professional Program - New Building - To construct a 4 storey, 29 dwelling units, secured market rental, multiple dwelling (with one lock-off) with amenity over 1 level of underground parking with vehicular access from the rear lane.

VBBL 2019 - NFPA 13R.

Stage 1 - Excavation, Shoring and Foundation to Grade issued on Sept. 21, 2022."|BP-2021-04012
3780 CLARK DRIVE, Vancouver, BC V5V 3E2|"Certified Professional Program - New Building - To construct a 8-storey (Z&D 6-storey) mixed-use building containing 
1st storey (Level P1) - parking, storage and service rooms,
2nd & 3rd storeys (L1 & L2) - 4 CRUs (2 restaurant Class 1 and 2 retail shell only) w/ 4 mezz. and 4 dwelling units.
4th to 8th storeys (L3 to L7) - 50 dwelling units,
all over 1 level of underground parking access from the lane at Level P1.

Total dwelling units = 54.
All tenant spaces require separate tenant improvement permits.

This permit has been reviewed under the 2019 Vancouver Building By-law (#12511).  
Building to be sprinklered to NFPA 13 requirements. 
The retail shell portions of the building are TIPs eligible at the time of construction.

STAGED CONSTRUCITON
Stage 1 - Foundation to L1 slab - issued September 23, 2022"|BP-2021-04654
3737 RUPERT STREET, Vancouver, BC V5M 3W2|"Certified Professional Program - New Building - To construct a 6-storey mixed-use building consisting:
1st storey - Retail shell, Restaurant - Class 1 use (shell only) and 1 townhouse rental unit with mezzanine,
2nd to 6th storeys - 51 secured market rental dwelling units,
all over two levels of underground parking having vehicular access from the lane. 

Separate tenant improvement permits are required for the tenant shell spaces.

This building is designed under Green Building Standard - Passive House Standard under 10.2.2.5.  
This is a CP process, CP is Ron Bijok, Architect.
This permit has been reviewed under the 2014 Vancouver Building By-law (#10908).  Reviewed during the 2020 pandemic crisis.

STAGED CONSTRUCTION
Stage 1 - Excavation & Shoring - issued on June 10, 2020
Stage 2 - Full Structure - issued on August 12, 2020
Stage 3 - Full Construction - issued on April 23, 2021
Revision 1 - Addition of Radio Antenna System at roof, related to DP-2021-00888 - issued May 11, 2022"|BP-2019-03811
6818 ASH STREET, Vancouver, BC V6P 3K4|"Certified Professional Program - New Building - To construct 11 (2 to 3 storeys) combustible townhouses consisting of 51 dwelling units on top of a single level below grade parking garage having vehicle access off a lane; and to be constructed concurrently with the adjacent property at 6988 Ash St. (BP-2020-01973). This permit is for all below grade site works and foundation construction. 

** The 2019 VBBL 12511 and its amendments apply to this permit application that has been reviewed during the Covid-19 pandemic.

This is a CP Process permit and the applicant is Jan Madura, MSc, P. Eng., CP (Jensen Hughes Consulting Canada Ltd.

RELATED Permits:

BP-2021-04884: Bldg. 1 at 6790 Ash St = 7 units 
BP-2021-04885: Bldg. 2 at 6810 Ash St = 3 units
BP-2021-04886: Bldg. 3 at 6818 Ash St = 2 units
BP-2021-04887: Bldg. 4 at 6820 Ash St = 6 units
BP-2021-04888: Bldg. 5 at 6832 Ash St = 3 units
BP-2021-04889: Bldg. 6 at 6846 Ash St = 3 units
BP-2021-04890: Bldg. 7 at 6852 Ash St = 6 units
BP-2021-04891: Bldg. 8 at 6858 Ash St = 6 units
BP-2021-04892: Bldg. 9 at 6864 Ash St = 6 units
BP-2021-04893: Bldg. 10 at 6888 Ash St = 3 units
BP-2021-04894: Bldg. 11 at 6894 Ash St = 6 units

Stage 1: Excavation & Shoring issued on Nov. 16, 2021.
Revision 1 to Stage 1 - Formwork only, no concrete pouring issued on August 2, 2022.

Stage 2 - Full Construction issued on Sept. 16, 2022."|BP-2020-01972
3241 CLIVE AVENUE, Vancouver, BC V5R 4V3|"Certified Professional Program - New Building - To construct a 3 storey building ( Building 2) located at south-west corner of this site, containing 2 townhomes. 
Building 2 is part of larger development. For full descripting of the proposed development on this site, refer to BP-2021-02279.

This  is a shingle stage Building Permit  that was reviewed under the VBBL 2019."|BP-2022-00560
3247 CLIVE AVENUE, Vancouver, BC|"Certified Professional Program - New Building - To construct a 3 storey building ( Building 3) located at South-East  corner of this site, containing 3 townhomes. 
Building 3 is part of larger development. For full descripting of the proposed development on this site, refer to BP-2021-02279.

This  is a shingle stage Building Permit  that was reviewed under the VBBL 2019."|BP-2022-00561
